id,name,pinyin
1,马,Ma
2,叶,Ye
3,张,Zhang
4,邓,Deng
5,赵,Zhao
6,孙,Sun
7,周,Zhou
8,李,Li
9,王,Wang
10,桑,Sang
11,傅,Fu
12,许,Xu
13,沈,Shen
14,陈,Chen
15,宋,Song
16,刘,Liu
17,郑,Zheng
18,何,He
19,郭,Guo
20,承,Cheng
21,黄,Huang
22,徐,Xu
23,彭,Peng
24,虞,Yu
25,杨,Yang
26,洪,Hong
27,汪,Wang
28,谭,Tan
29,霍,Huo
30,卓,Zhuo
31,吴,Wu
32,穆,Mu
33,冯,Feng
34,纳,Na
35,严,Yan
36,商,Shang
37,谢,Xie
38,龙,Long
39,魏,Wei
40,潘,Pan
41,廖,Liao
42,蔡,Cai
43,鲍,Bao
44,庞,Pang
45,梁,Liang
46,蒋,Jiang
47,高,Gao
48,余,Yu
49,毕,Bi
50,顾,Gu
51,胡,Hu
52,乔,Qiao. He
53,金,Jin
54,林,Lin
55,薛,Xue
56,章,Zhang
57,诸,Zhu
58,曲,Qu
59,包,Bao
60,栗,Li
61,樊,Fan
62,欧,Ou
63,方,Fang
64,陆,Lu
65,安,An
66,姚,Yao
67,姜,Jiang
68,建,Jian
69,简,Jian
70,曾,Zeng
71,邹,Zou
72,文,Wen
73,季,Ji
74,曹,Cao
75,齐,Qi
76,苏,Su
77,麦,Mai
78,田,Tian
79,原,Yuan
80,袁,Yuan
81,任,Ren
82,夏,Xia
83,房,Fang
84,羊,Yang
85,范,Fan
86,吕,Lü
87,程,Cheng
88,张陈方蓝刘,Zhang
89,石,Shi
90,俞,Yu
91,祝,Zhu
92,诸葛,Zhuge
93,阮,Ruan
94,向,Xiang
95,丁,Ding
96,龚,Gong
97,萧,Xiao
98,左,Zuo
99,陶,Tao
100,熊,Xiong
101,荣,Rong
102,戴,Dai
103,雷,Lei
104,喻,Yu
105,朱,Zhu
106,伍,Wu
107,贾,Jia
108,睢,Sui
109,谷,Gu
110,颜,Yan
111,屈,Qu
112,邵,Shao
113,党,Dang
114,卢,Lu
115,杜,Du
116,康,Kang
117,华,Hua
118,柳,Liu
119,段,Duan
120,车,Che
121,柏,Bai
122,郝,Hao
123,凌,Ling
124,毋,Wu
125,汤,Tang
126,厉,Li
127,殷,Yin
128,贺,He
129,武,Wu
130,黎,Li
131,崔,Cui
132,孟,Meng
133,韩,Han
134,申,Shen
135,温,Wen
136,褚,Chu
137,钱,Qian
138,罗,Luo
139,唐,Tang
140,邬,Wu
141,杨刘王叶李,Yang
142,云,Yun
143,江,Jiang
144,于,Yu
145,古,Gu
146,邢,Xing
147,孔,Kong
148,智,Zhi
149,史,Shi
150,冼,Xian
151,卜,Bu
152,欧阳,Ouyang
153,路,Lu
154,成,Cheng
155,甄,Zhen
156,岳,Yue
157,韦,Wei
158,闫,Yan
159,邱,Qiu
160,裴,Pei
161,钟,Zhong
162,干,Gan
163,翁,Weng
164,把,Ba
165,强,Qiang
166,隋,Sui
167,董,Dong
168,池,Chi
169,倪,Ni
170,蔺,Lin
171,连,Lian
172,滕,Teng
173,臧,Zang
174,秦,Qin
175,仲,Zhong
176,查,Cha
177,吉,Ji
178,阎,Yan
179,闻人,Wenren
180,谌,Chen
181,龙 ,Long
182,谈,Tan
183,蒙,Meng
184, 樊,Fan
185,侯,Hou
186,边,Bian
187,施,Shi
188,尚,Shang
189,闵,Min
190,光,Guang
191,靳,Jin
192,尹,Yin
193,易,Yi
194,习,Xi
195,莫,Mo
196,招,Zhao
197,葛,Ge
198,晋,Jin
199,缪,Miao
200,苗,Miao
201,盛,Sheng
202,毛,Mao
203,时,Shi
204,麻,Ma
205,丘,Qiu
206,牛,Niu
207,和,He
208,牟,Mou
209,解,Xie
210,来,Lai
211,覃,Tan
212,甘,Gan
213,蒲,Pu
214,耿,Geng
215,庄,Zhuang
216,付,Fu
217,加,Jia
218,窦,Dou
219,柴,Chai
220,巫,Wu
221,赖,Lai
222,仇,Chou
223,栾,Luan
224,白,Bai
225,符,Fu
226,饶,Rao
227,常,Chang
228,翟,Zhai
229,郎,Lang
230,万,Wan
231,那,Na
232,冷,Leng
233,郜,Gao
234,封,Feng
235,肖,Xiao
236,卞,Bian
237,郁,Yu
238,荆,Jing
239,佘,She
240,单,Shan
241,涂,Tu
242, 赵,Zhao
243,楼,Lou
244,管,Guan
245,惠,Hui
246,戎,Rong
247,聂,Nie
248,弓,Gong
249,南,Nan
250,晁,Chao
251,晏,Yan
252,卫,Wei
253,米,Mi
254,奚,Xi
255,"王,n/a",Wang
256,柯,Ke
257,钏,Chuan
258,佟,Tong
259,詹,Zhan
260,宫,Gong
261,宗,Zong
262,鲁,Lu
263,揭,Jie
264,庆,Qing
265,艾,Ai
266,梅,Mei
267,亢,Kang
268,刁,Diao
269,旃,Zhan
270,代,Dai
271,印,Yin
272,童,Tong
273,祁,Qi
274,全,Quan
275,濮,Pu
276,班,Ban
277,司,Si
278,匡,Kuang
279,"郭,",Guo
280,焦,Jiao
281,鄢,Yan
282,寇,Kou
283,扈,Hu
284,仝,Tong
